name|city|state|address|suggestion
University City Branch YMCA|Charlotte|NC|8100 Old Mallard Creek Rd|Parking lot and its directive are important, you should provide them to customers. 	Swimming pool really attract customers, it is worthy to hold a good one in your gym.	We recommend you to develop a good membership system.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Fitness Together|Charlotte|NC|13545 Steele Croft Pkwy, Ste 110|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 28203.	It's time to clean you gym.	 We recommend you to improve gyms's service quality.
24 Hour Fitness - Wigwam Henderson|Henderson|NV|2556 Wigwam Pkwy|Your staff should be more qualified, responsible and hospitable.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 89052.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Centre Ring|Toronto|ON|22 Balliol Street, Unit 107|It is a good idea to provide some exercise class in  your gym.	We suggest you employ some professional trainers in your gym to attract people.	Your staff should be more qualified, responsible and hospitable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Gold's Gym|Las Vegas|NV|9310 S Eastern Ave|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 89147.	We recommend that you make your room more comfortable.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Snap Fitness - Waxhaw|Waxhaw|NC|3913 Providence Rd S|We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 28173.	Equipments affects your ratings severely, you should maintain them better or update them.	We recommend you provide some special appointment service for customers.
Flying Squirrel|Calgary|AB|572 Aero Drive NE, Unit 105|We suggest you make the price of the gym reasonable.	You should create some children-friendly facility to attract customers.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.
Prairie Athletic Club|Sun Prairie|WI|1010 N Bird St|A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.	We suggest you offer some drinks for thirsty people during exercise.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 53590.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Planet Fitness - Mentor|Mentor|OH|7850 Mentor Ave, 586B|It is a good idea to provide some exercise class in  your gym.	We recommend you to offer lockers in your gym.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 44060.	We recommend you provide some special appointment service for customers.
BODY & BRAIN Yoga Tai Chi|Tempe|AZ|1860 Warner Rd, Ste 106|It is a good idea to provide some exercise class in  your gym.	Parking lot and its directive are important, you should provide them to customers. 	We suggest you make the price of the gym reasonable.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Youfit Health Clubs|Gilbert|AZ|870 E Williams Field Rd|We suggest you make the price of the gym reasonable.	We recommend you increase cardio-sport equipments since it is popular.	Your staff should be more qualified, responsible and hospitable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Equinox Bay Street|Toronto|ON|199 Bay St|We suggest you make the price of the gym reasonable.	It is a good idea to provide some exercise class in  your gym.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.
Planet Fitness - Surprise|Surprise|AZ|15569 W Bell Rd|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85374.	Equipments affects your ratings severely, you should maintain them better or update them.	 We recommend you to improve gyms's service quality.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
The Little Gym - Ballantyne|Charlotte|NC|11926 Providence Rd, Ste E-2|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 28203.
Amenzone Fitness|Phoenix|AZ|2502 E Camelback Rd, Ste 160|Equipments affects your ratings severely, you should maintain them better or update them.	 We recommend you to improve gyms's service quality.	We recommend you to develop a good membership system.
Toronto Kickboxing & Muay Thai Academy - Downtown|Toronto|ON|610 Queen Street W, 3rd Floor|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Ferris360|Toronto|ON|1910 Yonge Street|We suggest you make the price of the gym reasonable.	We recommend you increase cardio-sport equipments since it is popular.	Your staff should be more qualified, responsible and hospitable.	Parking lot and its directive are important, you should provide them to customers.
Johnston Memorial Branch YMCA|Charlotte|NC|3025 N Davidson St|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Parking lot and its directive are important, you should provide them to customers. 	We recommend you to offer lockers in your gym.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Zenith Gymnastics|Charlotte|NC|8617 Monroe Rd|A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.	Your staff should be more qualified, responsible and hospitable.	It's time to clean you gym.
Arizona Dynamics|Chandler|AZ|2450 E Germann Rd, Ste 17|Your staff should be more qualified, responsible and hospitable.	Your should hold more facilities for woman. 	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85225.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
LA Fitness|Toronto|ON|1970 Eglinton Avenue E|We recommend you to play appropriate music to adjust atmosphere.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code M4K 2P7.	Your staff should be more qualified, responsible and hospitable.	We recommend you provide some special appointment service for customers.
HIIT Life Fitness|Las Vegas|NV|6825 W Russell Rd, Ste 105|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you increase cardio-sport equipments since it is popular.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	We recommend you to provide bike parking place and direct them clearly.	We recommend that you provide some place to look after pets when people exercise in your gym.
Anytime Fitness|Scottsdale|AZ|16447 N Scottsdale Rd, Ste 109|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	 We recommend you to improve gyms's service quality.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Youfit Health Clubs|Glendale|AZ|4414 W Cactus Rd|We suggest you make the price of the gym reasonable.	We recommend you to develop a good membership system.	Your staff should be more qualified, responsible and hospitable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
CrossFit Unwavering|El Mirage|AZ|8628 N Dysart Rd, Ste 101|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Equipments affects your ratings severely, you should maintain them better or update them.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Klub Athletik Griffintown|Montr谷al|QC|1150 Rue Wellington|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code H1V 3J3.	We recommend you provide some special appointment service for customers.	We recommend that you provide some place to look after pets when people exercise in your gym.
FitHouse|Canonsburg|PA|3540 Washington Rd|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Equipments affects your ratings severely, you should maintain them better or update them.	Parking lot and its directive are important, you should provide them to customers.
The Pavilion|Thornhill|ON|130 Racco Parkway|We recommend you to develop a good membership system.	Your staff should be more qualified, responsible and hospitable.	The distance between your gym and residents is an issue. Please move to more popular districts.
Orange Shoe Personal Fitness|Fitchburg|WI|6200 Nesbitt Rd|Parking lot and its directive are important, you should provide them to customers. 	Your staff should be more qualified, responsible and hospitable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 53719.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Scottsdale Gymnastics Trampoline|Scottsdale|AZ|9321 N 94th St|Your staff should be more qualified, responsible and hospitable.	Equipments affects your ratings severely, you should maintain them better or update them.	 We recommend you to improve gyms's service quality.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
CrossFit Uprising|Phoenix|AZ|21602 N Central Ave, Ste 2|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Wynn Fitness Clubs - Scarborough|Toronto|ON|10 Milner Business Court|We recommend you to develop a good membership system.	It is a good idea to provide some exercise class in  your gym.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.
GoodLife Fitness|Scarborough|ON|3660 Kingston Rd|We suggest you offer some drinks for thirsty people during exercise.	It's time to clean you gym.	A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Life Time Athletic|Ajax|ON|100 Beck Cresent|Equipments affects your ratings severely, you should maintain them better or update them.	It is a good idea to provide some exercise class in  your gym.	Parking lot and its directive are important, you should provide them to customers. 	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
GoodLife Fitness|Brampton|ON|370 Main Street N|A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.	Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Vive Fitness|Toronto|ON|807 Bathurst Street|Contact is crucial, you should always keep in touch with custommers through phone or e-mail.	 We recommend you to improve gyms's service quality.	Parking lot and its directive are important, you should provide them to customers. 
Beardown Fitness|Charlotte|NC|1215 Central Ave|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Equipments affects your ratings severely, you should maintain them better or update them.
Dana Playground Equipment|Phoenix|AZ|2948 E Bell Rd, Ste 106|We suggest you make the price of the gym reasonable.	Your should hold more facilities for woman. 	Your staff should be more qualified, responsible and hospitable.	Parking lot and its directive are important, you should provide them to customers.
GoodLife Fitness|Toronto|ON|210 - 55 Bloor St W|We recommend you to develop a good membership system.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Your staff should be more qualified, responsible and hospitable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Anytime Fitness|Markham|ON|72 Copper Crk Dr|We suggest you make the price of the gym reasonable.	You should broaden your gym's space.	Avoid declining card when customers making a payment.
E身S Fitness - Phoenix: 75th Ave/Encanto|Phoenix|AZ|7400 W Encanto Blvd|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85018.	We suggest you make the price of the gym reasonable.	We recommend you to set you gym's signs clear.
Pure Fitness|East York|ON|939 Eglinton Avenue E|We suggest you improve the management of your gym.	Contact is crucial, you should always keep in touch with custommers through phone or e-mail.	We recommend you to develop a good membership system.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Buzzfit l'Acadie|Montr谷al|QC|9600 Boulevard de l'Acadie|You should create some children-friendly facility to attract customers.	Your staff should be more qualified, responsible and hospitable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code H1V 3J3.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Fit4Less|Toronto|ON|B24-45 Overlea Boulevard|We recommend you to develop a good membership system.	Avoid declining card when customers making a payment.	Your staff should be more qualified, responsible and hospitable.
Phoenix Evolution|Chandler|AZ|305 E Comstock Dr, Ste 4|It is a good idea to provide some exercise class in  your gym.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.
KTA Fitness|Matthews|NC|640 E Matthews Mint Hill Rd|Equipments affects your ratings severely, you should maintain them better or update them.	It is a good idea to provide some exercise class in  your gym.	We suggest you make the price of the gym reasonable.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
The Natatorium Health and Fitness Center|Cuyahoga Falls|OH|2345 Fourth St|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 44224.	We suggest you make the price of the gym reasonable.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Jabz Boxing - Gilbert|Gilbert|AZ|2335 S Lindsay Rd, Ste 103|It is a good idea to provide some exercise class in  your gym.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85296.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.
Barre3 Toronto - King Street West|Toronto|ON|325 King Street W, Suite 201|We recommend that you maintain your balls better or update them.	It is a good idea to provide some exercise class in  your gym.	A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.
Orangetheory Fitness Ballanytne|Charlotte|NC|14825 Ballantyne Village Way, Ste A180|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 28203.	Contact is crucial, you should always keep in touch with custommers through phone or e-mail.	We suggest you improve the management of your gym.
The Lift Factory|Las Vegas|NV|6824 West Cheyenne Ave|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Keep AC in your gym because it helps you control the air quality in your gym.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Flyght|Madison|WI|515 Junction Rd|We recommend that you make your room more comfortable.	You are recommended to add Yoga related facilities and trainers since it is popular.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 53704.
Ad Astra Athletics|Las Vegas|NV|4175 N Rancho Dr, Ste 120|It's time to clean you gym.	 We recommend you to improve gyms's service quality.	We recommend you to develop a good membership system.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Gold's Gym|Rosem豕re|QC|303 Boulevard Labelle|Your staff should be more qualified, responsible and hospitable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code J7A 2H7.	It's time to clean you gym.
LA Fitness|Phoenix|AZ|10046 N Metro Pkwy W|We recommend that you make your room more comfortable.	Your staff should be more qualified, responsible and hospitable.	A clean tiny bar can be added in your gym to provide delicious food, which will make the place decent.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Blast Fitness Phoenix- Indian School|Phoenix|AZ|4344 W Indian School Rd|We suggest your counter's employee should maintain a good attitude.	Equipments affects your ratings severely, you should maintain them better or update them.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
South Charlotte Crossfit|Charlotte|NC|5046 Old Pineville Rd, Ste 190|We suggest you make the price of the gym reasonable.	Your staff should be more qualified, responsible and hospitable.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Youfit Health Clubs|Mesa|AZ|1135 N Recker Rd|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85204.	Avoid declining card when customers making a payment.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.
Free Range CrossFit|Tempe|AZ|5030 S Mill Ave, Ste 23|It is a good idea to provide some exercise class in  your gym.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
West Toronto CrossFit|Toronto|ON|142 Vine Avenue, Unit B7|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code M4K 2P7.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Got Us Fit|Scottsdale|AZ|8260 N Hayden Rd, Ste 105A|Equipments affects your ratings severely, you should maintain them better or update them.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85260.	We recommend you provide some special appointment service for customers.
Carlson Gracie AZ/ Medavia Brazilian Jiu-Jitsu|Gilbert|AZ|891 E Warner Rd, Ste A-103|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
LA Fitness|Glendale|AZ|5820 W Peoria Ave, Ste 106|We recommend you to develop a good membership system.	We suggest you make the price of the gym reasonable.	We recommend that you make your room more comfortable.	We recommend you provide some special appointment service for customers.
One-to-One Fitness Center|Cleveland|OH|2130 Adelbert Rd|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We suggest you offer some drinks for thirsty people during exercise.	You should shorten waiting time in your gym.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Tusk CrossFit|Phoenix|AZ|23910 N 19th Ave, Ste 18|We recommend that you make your room more comfortable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85018.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Planet Fitness - Toronto - Galleria Mall|Toronto|ON|1245 Dupont Street|We suggest you make the price of the gym reasonable.	Your staff should be more qualified, responsible and hospitable.	 We recommend you to improve gyms's service quality.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
Supreme Health & Fitness|Madison|WI|5555 Odana Rd|Swimming pool really attract customers, it is worthy to hold a good one in your gym.	We recommend you to offer lockers in your gym.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Colosseum Training Center|Henderson|NV|3306 St Rose Park Way|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Equipments affects your ratings severely, you should maintain them better or update them.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Core Fitness Training Center|Warrensville Heights|OH|4630 Richmond Rd|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 44128.
Fitness 19 Fairlawn|Fairlawn|OH|2695 West Market St|Contact is crucial, you should always keep in touch with custommers through phone or e-mail.	Your should hold more facilities for woman. 	We recommend you to develop a good membership system.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
LA Fitness|Westlake|OH|131 Market St|Your staff should be more qualified, responsible and hospitable.	We recommend you to develop a good membership system.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.
CrossFit SanTan|Mesa|AZ|7665 E Velocity Way, Ste 121|It is a good idea to provide some exercise class in  your gym.	We recommend you to develop a good membership system.	We suggest you make the price of the gym reasonable.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Chris-Town YMCA|Phoenix|AZ|5517 N 17th Ave|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85018.	You should shorten waiting time in your gym.	You should create some children-friendly facility to attract customers.
Centre Vida Sana|Montr谷al|QC|435 Avenue Beaubien Ouest|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code H1V 3J3.	We suggest you make the price of the gym reasonable.	Your staff should be more qualified, responsible and hospitable.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Functional Integrated Training|Fitchburg|WI|5380 King James Way, Ste A1|Equipments affects your ratings severely, you should maintain them better or update them.	Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Planet Fitness - North York|North York|ON|1 York Gate Boulevard|Avoid declining card when customers making a payment.	 We recommend you to improve gyms's service quality.	We suggest you make the price of the gym reasonable.	We recommend you provide some special appointment service for customers.
CrossFit Distinction|Beachwood|OH|23500 Mercantile Rd, Ste K|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Anne Springs Close Greenway|Fort Mill|SC|971 Tom Hall St|Parking lot and its directive are important, you should provide them to customers. 	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 29708.	You should shorten waiting time in your gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Shamrock CrossFit|Phoenix|AZ|3375 E Shea Blvd|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85018.	Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Extreme Fitness|Toronto|ON|80 Bloor St W|Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code M4K 2P7.	We recommend you to develop a good membership system.	We recommend you to set you gym's signs clear.
FitBarre|Phoenix|AZ|4663 E Cactus Rd|We recommend you to develop a good membership system.	Your staff should be more qualified, responsible and hospitable.	We suggest you employ some professional trainers in your gym to attract people.	We recommend you provide some special appointment service for customers.	We recommend you to provide bike parking place and direct them clearly.
Planet Fitness - Laveen|Phoenix|AZ|3630 W Southern Ave|Your staff should be more qualified, responsible and hospitable.	 We recommend you to improve gyms's service quality.	You should create some children-friendly facility to attract customers.	We recommend you provide some special appointment service for customers.
Functional Training Studio|Concord|NC|8018 Myint Ln, Ste 130|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 28025.	Parking lot and its directive are important, you should provide them to customers.
Farrow Competitive Training|Tempe|AZ|2120 E 6th St, Ste 4|Your staff should be more qualified, responsible and hospitable.	We suggest you make the price of the gym reasonable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code 85281.
Pure Fitness|Peoria|AZ|7759 W Bell Rd|Avoid declining card when customers making a payment.	Treadmill is crucial to a gym, you should maintain them better or update them.	We recommend you to offer lockers in your gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
LA Fitness|Brampton|ON|539 Steeles Avenue East|It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We suggest you offer some drinks for thirsty people during exercise.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code L6V 1J6.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Singleton Boxing Academy|Concord|NC|3 S Union St, Ste 110|We suggest you employ some professional trainers in your gym to attract people.	We suggest you make the price of the gym reasonable.	It's time to clean you gym.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.	We recommend you to provide bike parking place and direct them clearly.
Life Time Fitness|Matthews|NC|9915 E Independence Blvd|We recommend you to set you gym's signs clear.	We suggest you employ some professional trainers in your gym to attract people.	It is a good idea to provide some exercise class in  your gym.	We recommend you provide some special appointment service for customers.	Parking lot and its directive are important, you should provide them to customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
Gold's Gym|Pittsburgh|PA|100 Forbes Ave|We suggest you make the price of the gym reasonable.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	Avoid declining card when customers making a payment.	We recommend you provide some special appointment service for customers.
GoodLife Fitness|Toronto|ON|110 Eglinton Ave East|Your staff should be more qualified, responsible and hospitable.	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code M4K 2P7.	Parking lot and its directive are important, you should provide them to customers. 	We recommend you provide some special appointment service for customers.
FLO Yoga & Cycle|Chandler|AZ|71 E Frye Rd|We suggest you make the price of the gym reasonable.	It's time to clean you gym.	Equipments affects your ratings severely, you should maintain them better or update them.	We recommend you provide some special appointment service for customers.
AerialCLT|Charlotte|NC|801 North Tryon St|It is a good idea to provide some exercise class in  your gym.	Parking lot and its directive are important, you should provide them to customers. 	It's time to clean you gym.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.	We recommend that you provide some place to look after pets when people exercise in your gym.
GoodLife Fitness|Markham|ON|5000 Hwy 7|Parking lot and its directive are important, you should provide them to customers. 	Customers sometimes complain about your gym's location. You could open branches at or move your gym to some popular district such as places near postal code L3P 5E5.	It is too crowded in your gym, you should expand it to improve customers' experience and make more profit.	We recommend you provide some special appointment service for customers.
Planet Fitness|Peoria|AZ|20713 N 83rd Ave|We recommend you to develop a good membership system.	Parking lot and its directive are important, you should provide them to customers. 	We recommend that you make your room more comfortable.	We recommend you provide some special appointment service for customers.	You should create some kids-friendly area to accomodate kids and separate kids from exercise area.
